lat,lon,ele,time,bbox
34.042816,-118.272647,75.99501934740692,2024-04-18 22:17:56,"[-118.99629784764427, 33.31916515235574, -117.54899615235574, 34.76646684764427]"
34.042953,-118.272580,75.84273701440543,2024-04-18 22:17:58,"[-118.99623084764427, 33.31930215235573, -117.54892915235573, 34.76660384764426]"
34.043039,-118.272533,75.47774470876902,2024-04-18 22:17:59,"[-118.99618384764426, 33.319388152355735, -117.54888215235572, 34.766689847644265]"
34.043201,-118.272448,75.52463162876666,2024-04-18 22:18:01,"[-118.99609884764428, 33.31955015235574, -117.54879715235573, 34.76685184764427]"
34.043354,-118.272339,76.48663602396846,2024-04-18 22:18:03,"[-118.99598984764428, 33.319703152355736, -117.54868815235574, 34.767004847644266]"
34.043437,-118.272279,76.62280640937388,2024-04-18 22:18:04,"[-118.99592984764428, 33.31978615235573, -117.54862815235573, 34.76708784764426]"
34.043524,-118.272214,75.87347975280136,2024-04-18 22:18:05,"[-118.99586484764427, 33.31987315235573, -117.54856315235573, 34.76717484764426]"
34.043612,-118.272149,76.16067990940064,2024-04-18 22:18:06,"[-118.99579984764426, 33.31996115235574, -117.54849815235572, 34.76726284764427]"
34.043701,-118.272086,76.06112889200449,2024-04-18 22:18:07,"[-118.99573684764427, 33.32005015235573, -117.54843515235574, 34.767351847644264]"
34.043793,-118.272017,75.97912933677435,2024-04-18 22:18:08,"[-118.99566784764428, 33.320142152355736, -117.54836615235574, 34.767443847644266]"
34.043957,-118.271882,75.94817791879177,2024-04-18 22:18:10,"[-118.99553284764428, 33.320306152355734, -117.54823115235574, 34.767607847644264]"
34.044046,-118.271802,75.04277077596635,2024-04-18 22:18:11,"[-118.99545284764427, 33.32039515235574, -117.54815115235573, 34.76769684764427]"
34.044130,-118.271725,75.5071129295975,2024-04-18 22:18:12,"[-118.99537584764427, 33.32047915235574, -117.54807415235572, 34.76778084764427]"
